Section,Nominal Size [mm],w [kg/m],d [mm],bf [mm],tw [mm],tf [mm],r [mm],A [cm2],Ix [cm4],Iy [cm4],rx [cm],ry [cm],Sx [cm3],Sy [cm3],Zx [cm3],Zy [cm3],h/tw,0.5bf/tf,ho [mm],j [cm4],cw [10^6 cm6],rts [cm6],Lp [cm],Lr [cm]
W-200x200x8x12 (49.9 kg/m),200x200,49.9,200,200,8,12,13,63.53,4720,1600,8.6,5.02,472,160,513.15,242.82,18.75,8.33,188,26.25,0.14,5.64,252.43,1047.76
W-*200x200x12x12 (56.2 kg/m),*200x200,56.2,200,204,12,12,13,71.53,4980,1700,8.4,4.88,498,167,553.15,256.03,12.5,8.5,188,34.33,0.15,5.66,245.39,1149.16
W-*200x200x10x16 (65.7 kg/m),*200x200,65.7,208,202,10,16,13,83.69,6530,2200,8.8,5.13,628,218,697.98,330.83,15,6.31,192,61.56,0.2,5.8,257.97,1362.64
W-V250x125x5x8 (25.7 kg/m),V250x125,25.7,248,124,5,8,12,32.68,3540,255,10.4,2.79,285,41,305.36,62.95,41.6,7.75,240,5.23,0.04,3.28,140.3,416.35
W-250x125x6x9 (29.6 kg/m),250x125,29.6,250,125,6,9,12,37.66,4050,294,10.4,2.79,324,47,351.86,72.4,34.67,6.94,241,7.81,0.04,3.31,140.3,441.28
W-250x175x7x11 (44.1 kg/m),250x175,44.1,244,175,7,11,16,56.24,6120,984,10.4,4.18,502,113,534.77,171.16,27.14,7.95,233,18.19,0.13,4.78,210.19,710.42
W-V250x250x11x11 (64.4 kg/m),V250x250,64.4,244,252,11,11,16,82.06,8790,2940,10.3,5.98,720,233,781.41,355.99,17.27,11.45,233,32.7,0.4,6.9,300.71,1099.09
W-*250x250x8x13 (66.5 kg/m),*250x250,66.5,248,249,8,13,16,84.7,9930,3350,10.8,6.29,801,269,859.26,406.56,23.75,9.58,235,40.48,0.46,7.01,316.3,1154.87
W-250x250x9x14 (72.4 kg/m),250x250,72.4,250,250,9,14,16,92.18,10800,3650,10.8,6.29,867,292,936.89,442,21.11,8.93,236,51.47,0.51,7.05,316.3,1228.69
W-*250x250x14x14 (82.2 kg/m),*250x250,82.2,250,255,14,14,16,104.7,11500,3880,10.5,6.09,919,304,1015.01,466.05,13.57,9.11,236,68.23,0.54,7.06,306.24,1343.12
W-V300x150x5.5x8 (32 kg/m),V300x150,32,298,149,5.5,8,13,40.8,6320,442,12.4,3.29,424,59,455.03,90.94,46.55,9.31,290,6.69,0.09,3.89,165.44,471.12
W-300x150x6.5x9 (36.7 kg/m),300x150,36.7,300,150,6.5,9,13,46.78,7210,508,12.4,3.29,481,68,522.08,104.23,39.38,8.33,291,9.95,0.11,3.92,165.44,492.42
W-300x200x8x12 (56.8 kg/m),300x200,56.8,294,200,8,12,18,72.38,11300,1600,12.5,4.71,771,160,822.6,244.32,29.25,8.33,282,27.85,0.32,5.41,236.85,763.5
W-*300x200x9x14 (65.4 kg/m),*300x200,65.4,298,201,9,14,18,83.36,13300,1900,12.6,4.77,893,189,963.2,288.27,26,7.18,284,43.67,0.38,5.5,239.86,842.12
W-V300x300x12x12 (84.5 kg/m),V300x300,84.5,294,302,12,12,18,107.7,16900,5520,12.5,7.16,1150,365,1240.67,556.94,19.5,12.58,282,51.03,1.1,8.23,360.05,1227.14
